Date,City,PM25,O3,NO2,SO2,CO
2022-12-07,Toronto-North,37,19,13, , 
2022-12-08,Toronto-North,44,19,6, , 
2022-12-09,Toronto-North,21,19,7, , 
2022-12-10,Toronto-North,19,20,4, , 
2022-12-11,Toronto-North,18,13,6, , 
2022-12-12,Toronto-North,23,18,8, , 
2022-12-13,Toronto-North,22,17,23, , 
2022-12-14,Toronto-North,25,16,15, , 
2022-12-15,Toronto-North,19,23,4, , 
2022-12-16,Toronto-North,8,18,13, , 
2022-12-17,Toronto-North,45,14,13, , 
2022-12-18,Toronto-North,36,16,8, , 
2022-12-19,Toronto-North,38,19,9, , 
2022-12-20,Toronto-North,28,15,13, , 
2022-12-21,Toronto-North,31,18,19, , 
2022-12-22,Toronto-North,46,19,10, , 
2022-12-23,Toronto-North,36,21,5, , 
2022-12-24,Toronto-North,9,22,5, , 
2022-12-25,Toronto-North,12,24,5, , 
2022-12-26,Toronto-North,16,20,9, , 
2022-12-27,Toronto-North,38,20,12, , 
2022-12-28,Toronto-North,44,17,13, , 
2022-12-29,Toronto-North,52,20,15, , 
2022-12-30,Toronto-North,40,16,18, , 
2022-12-31,Toronto-North,35,16,12, , 
2023-01-01,Toronto-North,30,17,9, , 
2023-01-02,Toronto-North,54,20,9, , 
2022-07-02,Toronto-North,50,33,2, ,1
2022-07-03,Toronto-North,29,25,1,1,1
2022-07-04,Toronto-North,15,38,8,1,1
2022-07-05,Toronto-North,24,35,6, ,2
2022-07-06,Toronto-North,29,23,3, ,1
2022-07-07,Toronto-North,14,34,4,1,1
2022-07-08,Toronto-North,20,18,7, ,2
2022-07-09,Toronto-North,24,25,4,1,1
2022-07-10,Toronto-North,31,27,4,1,1
2022-07-11,Toronto-North,33,50,10,2,2
2022-07-12,Toronto-North,34,34,4, ,1
2022-07-13,Toronto-North,21,26,5, ,2
2022-07-14,Toronto-North,22,27,3,1,1
2022-07-15,Toronto-North,17,40,8,1,1
2022-07-16,Toronto-North,27,46,5,1,2
2022-07-17,Toronto-North,40,46,6,1,2
2022-07-18,Toronto-North,38,31,3, ,1
2022-07-19,Toronto-North,10,36,7, ,2
2022-07-20,Toronto-North,36,44,6,1,2
2022-07-21,Toronto-North,36,30,4, ,1
2022-07-22,Toronto-North,36,41,7,1,2
2022-07-23,Toronto-North,39,45,6,1,1
2022-07-24,Toronto-North,26,39,4, ,1
2022-07-25,Toronto-North,21,24,3, ,1
2022-07-26,Toronto-North,16,29,6,1,1
2022-07-27,Toronto-North,15,40,7,1,2
2022-07-28,Toronto-North,33,32,8, ,2
2022-07-29,Toronto-North,38,23,5, ,1
2022-07-30,Toronto-North,15,19,2, ,1
2022-07-31,Toronto-North,7,31,5,1,2
2022-08-01,Toronto-North,27,37,7,1,1
2022-08-02,Toronto-North,36,22,2, ,2
2022-08-03,Toronto-North,20,36,6,1,2
2022-08-04,Toronto-North,22,27,9, ,2
2022-08-05,Toronto-North,21,36,3, ,2
2022-08-06,Toronto-North,22,37,7,1,2
2022-08-07,Toronto-North,22,36,4,1,1
2022-08-08,Toronto-North,37,30,6, ,2
2022-08-09,Toronto-North,26,18,2, ,1
2022-08-10,Toronto-North,6,42,5,1,1
2022-08-11,Toronto-North,26,19,3, ,1
2022-08-12,Toronto-North,15,27,4, ,1
2022-08-13,Toronto-North,14,42,6, ,1
2022-08-14,Toronto-North,25,35,5, ,1
2022-08-15,Toronto-North,28,31,5,1,2
2022-08-16,Toronto-North,21,31,4,1,2
2022-08-17,Toronto-North,25,24,7, ,2
2022-08-18,Toronto-North,20,29,7, ,2
2022-08-19,Toronto-North,23,32,11,1,2
2022-08-20,Toronto-North,35,45,8,1,4
2022-08-21,Toronto-North,45,36,3, ,2
2022-08-22,Toronto-North,27,26,3, ,2
2022-08-23,Toronto-North,15,22,3, ,2
2022-08-24,Toronto-North,24,22,6, ,2
2022-08-25,Toronto-North,24,15,5, ,2
2022-08-26,Toronto-North,31,21,4, ,2
2022-08-27,Toronto-North,26,25,2, ,1
2022-08-28,Toronto-North,14,29,4, ,3
2022-08-29,Toronto-North,18,32,5,1,1
2022-08-30,Toronto-North,27,25,7, ,1
2022-08-31,Toronto-North,30,19,4, ,1
2022-09-01,Toronto-North,19,24,5, ,2
2022-09-02,Toronto-North,13,27,8,2,3
2022-09-03,Toronto-North,28,39,6,1,3
2022-09-04,Toronto-North,34,18,1, ,1
2022-09-05,Toronto-North,22,12,1, ,1
2022-09-06,Toronto-North,12,23,3, ,1
2022-09-07,Toronto-North,13,20,4, ,1
2022-09-08,Toronto-North,14,32,8, ,2
2022-09-09,Toronto-North,16,35,11,1,4
2022-09-10,Toronto-North,31,38,3,1,2
2022-09-11,Toronto-North,44,28,3,1,1
2022-09-12,Toronto-North,26,16,4, ,1
2022-09-13,Toronto-North,22,22,9, ,2
2022-09-14,Toronto-North,22,19,6, ,2
2022-09-15,Toronto-North,26,20,5, , 
2022-09-16,Toronto-North,8,17,10,1, 
2022-09-17,Toronto-North,27,34,4, , 
2022-09-18,Toronto-North,36,32,6, , 
2022-09-19,Toronto-North,44,25,8, , 
2022-09-20,Toronto-North,40,21,5, , 
2022-09-21,Toronto-North,18,31,8, , 
2022-09-22,Toronto-North,30,19,2, , 
2022-09-23,Toronto-North,17,20,2, , 
2022-09-24,Toronto-North,7,20,7,1, 
2022-09-25,Toronto-North,13,18,5, , 
2022-09-26,Toronto-North,19,19,5, , 
2022-09-27,Toronto-North,11,15,6, , 
2022-09-28,Toronto-North,15,11,2, , 
2022-09-29,Toronto-North,29,18,4, , 
2022-09-30,Toronto-North,46,18,9,1, 
2022-10-01,Toronto-North,42,14,8, , 
