Burlington, (44008) Hourly, Ground-level Ozone (O3) Concentrations
Station,Burlington (44008)
Address,North Shore Blvd. E./lakeshore Rd.
Latitude,43.314603
Longitude,-79.80277
Elevation, 78 metres
Air Intake Height,5 metres
Pollutant,Ozone (Ozone O3)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
44008,Ozone,2022-04-05,42,40,40,39,37,34,35,32,30,31,32,32,31,31,32,36,40,41,41,44,45,45,44,42,
44008,Ozone,2022-04-06,42,40,39,37,36,29,28,34,35,35,34,34,36,39,43,45,45,44,36,28,21,20,29,37,
44008,Ozone,2022-04-07,24,22,28,19,12,5,11,22,24,26,29,30,32,37,38,38,24,35,33,30,24,25,26,24,
44008,Ozone,2022-04-08,25,25,21,23,22,20,17,19,22,24,28,26,28,30,33,34,34,34,28,29,26,26,26,24,
44008,Ozone,2022-04-09,21,20,15,17,18,20,21,21,23,24,23,25,28,29,31,32,32,32,31,31,27,28,29,28,
44008,Ozone,2022-04-10,27,25,24,30,31,33,32,32,33,34,37,37,36,36,37,38,39,39,38,34,31,24,31,36,
44008,Ozone,2022-04-11,36,22,6,9999,22,27,30,31,29,32,34,35,36,35,37,40,40,41,40,29,14,25,28,29,
44008,Ozone,2022-04-12,30,26,20,15,23,2,3,9,26,40,42,46,47,48,50,49,50,46,44,34,22,13,9,18,
44008,Ozone,2022-04-13,9,44,42,43,42,38,39,35,37,38,40,39,37,39,38,32,32,32,30,35,35,36,39,35,
44008,Ozone,2022-04-14,31,29,36,32,23,4,18,22,24,35,36,35,37,37,38,40,40,41,42,41,41,41,40,31,
44008,Ozone,2022-04-15,28,25,30,33,30,30,34,36,36,38,42,40,44,43,42,45,45,44,45,43,48,43,36,37,
44008,Ozone,2022-04-16,36,35,36,31,18,20,23,26,27,30,31,34,35,36,35,32,33,32,31,30,30,30,29,28,
44008,Ozone,2022-04-17,29,31,32,31,30,31,32,32,31,30,30,30,32,32,32,34,31,31,31,27,26,29,21,19,
44008,Ozone,2022-04-18,14,14,14,9999,7,24,29,28,29,30,29,31,32,34,33,31,32,32,31,31,28,24,15,23,
44008,Ozone,2022-04-19,24,22,25,27,24,21,21,20,19,20,23,24,25,25,26,28,28,29,29,29,28,26,26,26,
44008,Ozone,2022-04-20,26,26,28,28,25,23,22,24,26,26,24,24,28,26,28,31,31,29,28,31,29,26,27,26,
44008,Ozone,2022-04-21,28,25,28,27,24,22,26,26,31,29,33,32,35,36,35,39,40,39,41,39,37,36,39,37,
44008,Ozone,2022-04-22,33,25,26,21,20,14,22,27,29,28,28,28,30,34,37,40,43,44,43,45,42,31,31,35,
44008,Ozone,2022-04-23,38,37,40,38,34,34,35,34,34,33,31,32,34,34,35,35,37,39,40,38,39,41,41,41,
44008,Ozone,2022-04-24,41,39,40,40,39,37,36,37,37,37,37,38,39,40,40,38,42,41,44,46,45,43,37,41,
44008,Ozone,2022-04-25,45,47,47,9999,37,22,32,35,36,42,42,42,42,43,44,44,27,25,18,19,14,13,18,23,
44008,Ozone,2022-04-26,22,27,27,25,22,19,19,19,21,24,24,26,25,26,26,24,23,24,22,21,19,21,22,27,
44008,Ozone,2022-04-27,25,22,22,21,23,22,22,23,27,30,29,28,26,24,21,21,22,21,22,19,18,18,20,22,
44008,Ozone,2022-04-28,23,28,29,27,22,23,27,32,36,38,40,41,41,44,45,48,49,48,47,38,37,35,34,39,
44008,Ozone,2022-04-29,39,38,38,35,34,32,30,28,31,27,32,34,41,43,43,44,41,43,43,42,29,21,25,19,
44008,Ozone,2022-04-30,22,27,27,26,26,24,24,26,27,34,39,40,42,43,44,43,42,39,42,45,43,42,44,44,
44008,Ozone,2022-05-01,43,40,38,40,42,40,39,37,38,37,41,42,40,39,39,38,41,43,39,30,24,20,22,31,
44008,Ozone,2022-05-02,32,19,28,9999,33,24,11,11,13,12,13,18,20,20,18,21,20,20,17,14,13,17,13,12,
44008,Ozone,2022-05-03,14,16,19,9,6,6,9,12,19,26,28,29,32,33,37,36,38,40,40,39,38,34,34,33,
44008,Ozone,2022-05-04,34,35,34,33,35,26,22,21,19,19,21,25,26,28,32,36,33,30,26,23,17,12,1,9,
44008,Ozone,2022-05-05,20,22,24,23,22,20,16,19,18,22,28,31,36,39,39,40,41,40,40,41,37,37,37,37,
44008,Ozone,2022-05-06,32,38,35,25,22,25,23,39,40,38,33,32,37,40,39,34,43,43,43,43,42,42,42,41,
44008,Ozone,2022-05-07,38,44,44,43,43,42,40,39,38,38,39,39,39,40,41,43,45,47,48,49,50,45,43,43,
44008,Ozone,2022-05-08,34,36,37,15,28,29,35,42,40,40,41,43,44,45,44,44,44,44,44,45,42,45,45,39,
44008,Ozone,2022-05-09,25,4,0,9999,19,12,21,29,38,41,40,44,46,45,47,48,48,47,46,43,43,41,35,34,
44008,Ozone,2022-05-10,27,27,7,0,1,2,24,43,42,41,42,45,51,56,54,57,58,52,57,54,51,48,34,34,
44008,Ozone,2022-05-11,36,6,4,44,2,2,8,22,42,49,46,49,50,50,51,49,57,56,58,58,47,27,38,41,
44008,Ozone,2022-05-12,43,23,14,23,4,2,15,33,45,50,49,50,53,58,60,60,60,58,57,51,40,38,32,14,
44008,Ozone,2022-05-13,10,4,0,0,0,5,32,45,49,47,50,49,53,56,57,58,58,57,56,54,51,51,51,38,
44008,Ozone,2022-05-14,26,21,25,31,4,11,36,45,45,46,43,48,48,47,47,48,45,42,38,35,27,36,34,32,
44008,Ozone,2022-05-15,29,23,13,3,2,6,14,18,18,19,26,35,49,51,56,59,59,58,57,52,32,39,31,48,
44008,Ozone,2022-05-16,48,47,44,9999,36,38,39,39,36,33,30,33,37,42,41,43,42,41,41,31,18,18,23,22,
44008,Ozone,2022-05-17,28,26,21,17,15,12,12,12,13,14,15,16,17,17,17,16,14,14,22,22,15,18,15,18,
44008,Ozone,2022-05-18,21,20,15,13,6,5,10,16,20,21,22,24,25,24,28,28,29,28,27,30,34,30,28,31,
44008,Ozone,2022-05-19,33,35,34,32,28,28,26,26,30,33,33,32,34,39,41,46,51,48,39,38,31,28,38,37,
44008,Ozone,2022-05-20,38,33,25,32,32,32,33,32,32,31,33,33,35,40,34,38,38,34,34,28,23,22,29,31,
44008,Ozone,2022-05-21,31,30,28,28,28,30,28,29,30,35,39,43,34,37,42,45,44,44,43,42,35,37,36,39,
44008,Ozone,2022-05-22,39,39,39,39,38,34,34,35,33,26,18,24,26,25,28,31,33,32,28,27,21,17,17,19,
44008,Ozone,2022-05-23,20,22,20,9999,19,21,20,20,21,23,25,26,27,25,30,37,36,35,35,34,26,12,8,26,
44008,Ozone,2022-05-24,12,16,12,10,8,9,13,18,20,24,25,28,32,33,33,34,34,33,35,34,29,29,26,23,
44008,Ozone,2022-05-25,14,3,7,26,29,27,25,22,24,26,30,33,34,36,35,37,39,40,41,41,41,39,32,32,
44008,Ozone,2022-05-26,32,28,23,11,9,11,24,21,20,24,25,29,30,34,35,35,33,32,30,27,24,18,18,21,
44008,Ozone,2022-05-27,19,23,32,28,20,13,14,18,19,20,24,26,32,39,36,37,39,42,45,37,31,26,24,25,
44008,Ozone,2022-05-28,23,20,23,21,15,7,8,13,15,19,20,23,28,35,38,39,41,44,39,36,28,20,20,21,
44008,Ozone,2022-05-29,23,15,12,16,8,6,13,19,28,24,34,40,43,46,49,51,47,42,43,35,31,44,39,32,
44008,Ozone,2022-05-30,30,28,21,9999,31,27,11,25,39,42,42,48,49,49,49,50,52,51,52,49,39,38,34,36,
44008,Ozone,2022-05-31,41,43,39,34,30,25,26,29,35,41,45,47,47,49,56,53,48,47,47,43,38,34,36,39,
44008,Ozone,2022-06-01,37,32,29,32,32,26,24,24,26,28,26,29,31,32,22,4,10,16,21,28,16,19,18,20,
44008,Ozone,2022-06-02,22,25,24,18,22,17,16,17,18,23,35,41,42,40,35,34,33,30,31,28,23,13,9,14,
44008,Ozone,2022-06-03,16,17,16,14,13,10,12,13,13,17,30,37,41,42,44,49,48,43,44,40,31,26,42,37,
44008,Ozone,2022-06-04,35,30,25,21,19,18,17,19,22,23,27,32,35,37,40,42,42,44,43,41,33,21,21,24,
44008,Ozone,2022-06-05,27,21,20,24,25,24,27,32,36,41,44,47,48,49,50,49,45,46,44,44,40,38,41,36,
44008,Ozone,2022-06-06,23,25,26,9999,32,27,31,32,36,37,39,45,46,49,51,47,43,41,41,40,41,40,40,35,
44008,Ozone,2022-06-07,36,39,41,39,34,36,31,23,24,29,27,28,29,31,33,35,32,30,33,32,23,22,21,22,
44008,Ozone,2022-06-08,22,24,24,21,20,21,18,21,23,25,26,28,35,39,42,36,32,33,34,33,26,13,16,25,
44008,Ozone,2022-06-09,18,20,23,21,19,18,18,20,28,26,26,30,34,34,31,32,35,34,33,37,33,31,28,24,
44008,Ozone,2022-06-10,25,23,21,21,18,14,16,20,25,27,29,32,33,34,35,35,36,36,38,29,21,27,32,31,
44008,Ozone,2022-06-11,31,37,35,30,25,19,25,29,31,41,47,48,51,52,45,51,49,51,54,53,51,33,32,42,
44008,Ozone,2022-06-12,43,42,37,33,30,30,32,34,33,36,36,36,41,43,45,43,43,43,42,39,36,35,35,34,
44008,Ozone,2022-06-13,25,26,18,9999,3,10,11,16,20,20,19,29,29,27,26,27,42,52,54,54,52,43,44,43,
44008,Ozone,2022-06-14,39,41,38,33,33,24,21,22,22,26,30,35,37,39,38,37,38,34,32,32,31,26,3,5,
44008,Ozone,2022-06-15,17,14,19,15,22,26,24,26,27,29,25,33,38,42,44,45,46,48,43,41,37,33,21,5,
44008,Ozone,2022-06-16,4,16,18,20,17,19,18,25,31,38,43,45,43,34,43,51,53,52,51,50,40,44,48,53,
44008,Ozone,2022-06-17,47,40,34,30,20,18,23,28,34,37,38,38,36,36,37,39,38,35,32,31,30,29,28,23,
44008,Ozone,2022-06-18,22,21,22,27,29,28,27,29,31,31,33,36,35,36,34,33,34,34,34,34,29,28,26,26,
44008,Ozone,2022-06-19,27,26,29,25,26,27,25,28,33,35,36,38,39,40,42,43,46,44,41,38,30,26,24,21,
44008,Ozone,2022-06-20,18,20,-999,-999,-999,-999,-999,-999,18,21,24,36,-999,-999,43,47,50,51,50,49,47,43,40,38,
44008,Ozone,2022-06-21,9999,32,30,24,27,32,34,35,31,36,44,51,71,72,72,74,76,79,75,79,77,72,69,68,
44008,Ozone,2022-06-22,63,43,37,57,53,37,35,40,48,58,62,57,57,56,55,54,51,49,49,48,45,39,35,32,
44008,Ozone,2022-06-23,28,22,20,17,14,13,14,16,19,24,29,41,50,50,54,53,54,52,53,51,47,32,19,20,
44008,Ozone,2022-06-24,19,10,13,2,2,7,11,12,16,22,29,32,38,44,55,60,61,54,42,36,37,35,32,32,
44008,Ozone,2022-06-25,36,34,32,31,29,30,31,32,43,49,49,52,56,59,58,62,62,63,64,61,61,60,54,46,
44008,Ozone,2022-06-26,40,43,37,29,18,12,25,30,38,35,46,52,55,56,56,59,60,60,56,41,46,33,31,32,
44008,Ozone,2022-06-27,31,23,21,9999,11,8,11,22,28,30,32,33,31,31,30,29,28,27,27,25,19,22,21,21,
44008,Ozone,2022-06-28,20,21,23,20,17,15,19,24,26,28,31,33,38,40,41,44,45,34,32,31,37,37,34,34,
44008,Ozone,2022-06-29,33,34,29,29,26,27,17,13,11,10,15,19,29,46,49,49,46,47,47,43,39,39,37,31,
44008,Ozone,2022-06-30,36,36,25,6,6,6,9,9,12,20,20,25,27,35,37,36,39,42,63,60,56,54,57,60,
44008,Ozone,2022-07-01,62,57,53,49,44,42,42,41,43,48,45,48,55,59,65,62,62,58,57,55,50,47,43,42,
44008,Ozone,2022-07-02,39,34,30,26,22,19,22,21,31,35,38,40,40,41,45,47,44,42,38,37,30,20,23,30,
44008,Ozone,2022-07-03,28,24,24,24,22,22,22,20,22,25,27,28,27,27,35,34,35,36,36,35,32,33,39,37,
44008,Ozone,2022-07-04,18,11,4,9999,0,1,5,8,13,21,28,32,39,42,45,45,48,49,46,40,36,37,33,31,
44008,Ozone,2022-07-05,33,32,32,33,31,29,24,20,17,27,31,23,25,31,34,36,39,43,47,47,46,40,31,29,
44008,Ozone,2022-07-06,25,26,25,22,24,25,24,26,29,27,26,32,36,31,29,33,35,36,37,38,33,23,26,21,
44008,Ozone,2022-07-07,15,16,16,15,13,11,13,16,19,20,24,28,35,41,40,37,36,36,35,36,29,30,25,17,
