Date,City,PM25,O3,NO2,SO2,CO
2023-03-19,Toronto-North,22.00,34.00,4.00,,1.00
2023-03-20,Toronto-North,16.00,31.00,9.00,1.00,
2023-03-21,Toronto-North,34.00,34.00,10.00,1.00,4.00
2023-03-22,Toronto-North,50.00,27.00,11.00,2.00,1.00
2023-03-23,Toronto-North,47.00,28.00,15.00,,
2023-03-24,Toronto-North,56.00,30.00,9.00,1.00,1.00
2023-03-25,Toronto-North,27.00,28.00,6.00,,1.00
2023-03-26,Toronto-North,24.00,35.00,4.00,,4.00
2023-03-27,Toronto-North,17.00,31.00,17.00,2.00,1.00
2023-03-28,Toronto-North,28.00,24.00,17.00,,2.00
2023-03-29,Toronto-North,47.00,33.00,17.00,,
2023-03-30,Toronto-North,39.00,34.00,10.00,,2.00
2023-03-31,Toronto-North,22.00,25.00,13.00,1.00,
2023-04-01,Toronto-North,35.00,35.00,6.00,1.00,1.00
2022-10-02,Toronto-North,23.00,19.00,5.00,2.00,1.00
2022-10-03,Toronto-North,12.00,22.00,7.00,1.00,3.00
2022-10-04,Toronto-North,16.00,24.00,13.00,,1.00
2022-10-05,Toronto-North,30.00,24.00,18.00,3.00,
2022-10-06,Toronto-North,41.00,33.00,21.00,,2.00
2022-10-07,Toronto-North,53.00,19.00,3.00,,4.00
2022-10-08,Toronto-North,9.00,23.00,5.00,,1.00
2022-10-09,Toronto-North,9.00,24.00,4.00,1.00,5.00
2022-10-10,Toronto-North,23.00,24.00,4.00,1.00,1.00
2022-10-11,Toronto-North,28.00,30.00,13.00,,
2022-10-12,Toronto-North,43.00,31.00,8.00,1.00,2.00
2022-10-13,Toronto-North,36.00,27.00,7.00,,1.00
2022-10-14,Toronto-North,29.00,24.00,10.00,1.00,1.00
2022-10-15,Toronto-North,36.00,23.00,4.00,1.00,
2022-10-16,Toronto-North,19.00,18.00,6.00,2.00,3.00
2022-10-17,Toronto-North,28.00,11.00,6.00,1.00,1.00
2022-10-18,Toronto-North,21.00,9.00,6.00,,
2022-10-19,Toronto-North,22.00,13.00,7.00,,
2022-10-20,Toronto-North,13.00,16.00,8.00,1.00,2.00
2022-10-21,Toronto-North,22.00,34.00,11.00,2.00,2.00
2022-10-22,Toronto-North,43.00,37.00,9.00,3.00,1.00
2022-10-23,Toronto-North,44.00,33.00,12.00,1.00,
2022-10-24,Toronto-North,50.00,30.00,11.00,,2.00
2022-10-25,Toronto-North,39.00,20.00,9.00,1.00,1.00
2022-10-26,Toronto-North,26.00,14.00,10.00,,1.00
2022-10-27,Toronto-North,26.00,17.00,5.00,1.00,
2022-10-28,Toronto-North,9.00,19.00,9.00,,4.00
2022-10-29,Toronto-North,12.00,19.00,13.00,3.00,1.00
2022-10-30,Toronto-North,34.00,24.00,13.00,1.00,
2022-10-31,Toronto-North,49.00,13.00,19.00,,1.00
2022-11-01,Toronto-North,59.00,23.00,14.00,1.00,2.00
2022-11-02,Toronto-North,47.00,20.00,17.00,,1.00
2022-11-03,Toronto-North,70.00,13.00,16.00,1.00,4.00
2022-11-04,Toronto-North,60.00,25.00,12.00,1.00,1.00
2022-11-05,Toronto-North,31.00,26.00,4.00,,
2022-11-06,Toronto-North,25.00,27.00,3.00,,1.00
2022-11-07,Toronto-North,16.00,22.00,6.00,,1.00
2022-11-08,Toronto-North,23.00,18.00,10.00,1.00,2.00
2022-11-09,Toronto-North,17.00,22.00,14.00,1.00,1.00
2022-11-10,Toronto-North,30.00,23.00,20.00,2.00,
2022-11-11,Toronto-North,47.00,13.00,18.00,1.00,1.00
2022-11-12,Toronto-North,29.00,13.00,3.00,1.00,2.00
2022-11-13,Toronto-North,16.00,23.00,4.00,, 
2022-11-14,Toronto-North,6.00,25.00,10.00,1.00,1.00
2022-11-15,Toronto-North,10.00,20.00,11.00,, 
2022-11-16,Toronto-North,13.00,15.00,13.00,4.00,2.00
2022-11-17,Toronto-North,22.00,20.00,11.00,,1.00
2022-11-18,Toronto-North,23.00,19.00,9.00,2.00, 
2022-11-19,Toronto-North,43.00,19.00,6.00,,4.00
2022-11-20,Toronto-North,25.00,23.00,5.00,1.00, 
2022-11-21,Toronto-North,11.00,24.00,11.00,2.00,2.00
2022-11-22,Toronto-North,34.00,15.00,21.00,1.00,2.00
2022-11-23,Toronto-North,36.00,13.00,27.00,,1.00
2022-11-24,Toronto-North,93.00,7.00,28.00,1.00,1.00
2022-11-25,Toronto-North,80.00,20.00,12.00,,2.00
2022-11-26,Toronto-North,27.00,19.00,13.00,4.00, 
2022-11-27,Toronto-North,35.00,23.00,13.00,1.00, 
2022-11-28,Toronto-North,34.00,18.00,5.00,1.00,1.00
2022-11-29,Toronto-North,10.00,16.00,9.00,,1.00
2022-11-30,Toronto-North,25.00,14.00,6.00,,3.00
2022-12-01,Toronto-North,22.00,19.00,7.00,2.00, 
2022-12-02,Toronto-North,11.00,15.00,14.00,,1.00
2022-12-03,Toronto-North,44.00,20.00,5.00,, 
2022-12-04,Toronto-North,11.00,18.00,7.00,3.00,4.00
2022-12-05,Toronto-North,19.00,13.00,14.00,,2.00
2022-12-06,Toronto-North,24.00,14.00,12.00,1.00,1.00
2022-12-07,Toronto-North,37.00,19.00,13.00,1.00,2.00
2022-12-08,Toronto-North,44.00,19.00,6.00,, 
2022-12-09,Toronto-North,21.00,19.00,7.00,1.00, 
2022-12-10,Toronto-North,19.00,20.00,4.00,2.00,4.00
2022-12-11,Toronto-North,18.00,13.00,6.00,1.00, 
2022-12-12,Toronto-North,23.00,18.00,8.00,,4.00
2022-12-13,Toronto-North,22.00,17.00,23.00,4.00,2.00
2022-12-14,Toronto-North,25.00,16.00,15.00,, 
2022-12-15,Toronto-North,19.00,23.00,4.00,1.00,3.00
2022-12-16,Toronto-North,8.00,18.00,13.00,1.00,1.00
2022-12-17,Toronto-North,45.00,14.00,13.00,, 
